날짜,스트레스,건강,습관
2025-04-26,34.56269,16.12223,7.74499
2025-04-27,34.29926,18.59852,6.902
2025-04-28,38.9884,27.608,8.85142
2025-04-29,40.99051,24.86828,7.85036
2025-04-30,37.51317,25.71127,9.85247
2025-05-01,36.67017,21.23287,7.42887
2025-05-02,35.45837,21.86512,7.48155
2025-05-03,29.76817,17.65015,6.26975
2025-05-04,29.50474,18.33508,6.42781
2025-05-05,31.03266,22.02318,6.79662
2025-05-06,30.92729,21.28556,7.85036
2025-05-07,40.6217,27.23919,9.37829
2025-05-08,36.30136,30.8746,9.16754
2025-05-09,39.14646,27.92413,10.69546
2025-05-10,36.40674,18.12434,8.58798
2025-05-11,33.24552,19.4942,9.00948
2025-05-12,43.73024,30.71654,10.32665
2025-05-13,40.04214,28.08219,10.85353
2025-05-14,44.62592,29.39936,10.9589
2025-05-15,39.67334,26.44889,10.11591
2025-05-16,37.46048,26.44889,8.00842
2025-05-17,34.19388,19.17808,8.48261
2025-05-18,33.24552,23.49841,7.21812
2025-05-19,42.14963,32.03371,8.00842
2025-05-20,53.16122,28.55637,9.48366
2025-05-21,50.15806,26.76501,9.90516
2025-05-22,43.99367,27.08113,9.37829
2025-05-23,38.30347,25.34246,9.95785
2025-05-24,34.66807,17.80821,8.58798
2025-05-25,35.08956,19.33614,7.27081
2025-05-26,42.20231,27.34457,9.53635
2025-05-27,40.99051,24.65753,10.22128
2025-05-28,41.51738,27.23919,8.95679
2025-05-29,43.20337,23.9726,10.32665
2025-05-30,41.0432,24.18335,8.21917
2025-05-31,33.03477,17.54478,7.00737
2025-06-01,34.98419,19.33614,9.11485
2025-06-02,40.99051,26.87038,10.90621
2025-06-03,33.98314,19.44151,7.58693
2025-06-04,36.45943,22.70811,8.1138
2025-06-05,37.82929,25.23709,10.27397
2025-06-06,31.2961,15.54267,7.00737
2025-06-07,33.93045,17.80821,7.16543
2025-06-08,36.30136,16.85985,8.37723
2025-06-09,41.93888,26.8177,9.64172
2025-06-10,42.255,26.60695,10.48472
2025-06-11,41.14857,28.08219,9.53635
2025-06-12,43.57218,28.24025,8.9041
2025-06-13,40.77976,23.44573,8.42992
2025-06-14,34.24657,20.07376,7.06006
2025-06-15,32.56059,20.12644,9.37829
2025-06-16,39.14646,29.08324,9.43097
2025-06-17,38.25079,23.5511,8.9041
2025-06-18,44.52054,26.65964,8.5353
2025-06-19,40.67439,24.49947,9.43097
2025-06-20,38.61959,25.81664,8.1138
2025-06-21,33.61433,16.70179,7.48155
2025-06-22,35.56375,17.4394,7.27081
2025-06-23,38.40885,25.55321,9.00948
2025-06-24,41.72813,24.81559,8.16649
2025-06-25,37.98735,24.44678,7.58693
2025-06-26,39.25184,23.12961,8.00842
2025-06-27,34.56269,22.91886,8.00842
2025-06-28,26.55426,17.33403,7.00737
2025-06-29,28.08219,18.44046,7.6923
2025-06-30,30.66385,25.76396,7.6923
2025-07-01,37.19704,26.23814,7.48155
2025-07-02,35.66912,24.34141,7.85036
2025-07-03,33.08746,22.70811,8.64067
2025-07-04,35.24762,20.91675,7.90305
2025-07-05,27.76606,16.6491,6.4805
2025-07-06,27.55532,17.17597,7.27081
2025-07-07,36.82824,23.9726,9.48366
2025-07-08,32.40252,25.23709,8.74604
2025-07-09,36.24868,26.65964,8.95679
2025-07-10,34.82613,22.18124,8.00842
2025-07-11,32.92939,22.81348,8.00842
2025-07-12,27.50263,16.01685,7.58693
2025-07-13,28.24025,17.01791,8.32455
2025-07-14,35.61643,24.02528,8.00842
